Drug ID,Target ID,ChEMBL,DrugBank,KEGG,KEGGhsa,Checked
D00348,hsa5916,C,,K,K,T
D00348,hsa5915,C,,K,K,T
D00690,hsa2908,C,D,K,K,T
D00040,hsa9970,,D,,,T
D00040,hsa7421,,D,,,T
D00066,hsa2908,,D,,,T
D00066,hsa367,,D,,,T
D00066,hsa8856,,D,,,T
D00066,hsa4306,,D,,,T
D00067,hsa2100,,D,K,K,T
D00067,hsa367,,D,,,T
D00075,hsa4306,,D,,,T
D00075,hsa2099,,D,,,T
D00105,hsa2104,,D,,,T
D00105,hsa8856,,D,,,T
D00312,hsa2100,,D,K,K,T
D00312,hsa367,,D,,,T
D00327,hsa2908,,D,,,T
D00443,hsa2908,,D,,,T
D00443,hsa367,,D,,,T
D00443,hsa8856,,D,,,T
D00443,hsa5241,,D,,,T
D00506,hsa8856,,D,,,T
D00554,hsa8856,,D,,,T
D00565,hsa5468,,D,,,T
D00565,hsa8856,,D,,,T
D00577,hsa367,,D,,,T
D00577,hsa8856,,D,,,T
D00585,hsa8856,,D,,,T
D00586,hsa8856,,D,,,T
D00596,hsa6258,,D,,,T
D00596,hsa6257,,D,,,T
D00596,hsa6256,,D,,,T
D00596,hsa5465,,D,,,T
D00950,hsa367,,D,,,T
D00951,hsa2099,,D,,,T
D00954,hsa367,,D,,,T
D05341,hsa5465,,D,,,T
D00898,hsa2100,,,K,K,T
D00962,hsa2100,,,K,K,T
